name,alternate_code,item_code,raw_product,ranch,item_designation,packaging_type,yield,case_weight,labor
"ACORN SQUASH, DICED  (4X5#CASE)",,AC,"Squash, Acorn",No,Foodservice,4/5 NEW KRAFT,18,20,0.25
"APPLE, RED WEDGES (4X3#CASE)",,GW,"Apples, Gala",No,Foodservice,APPLE BULK 4/3,28,12,0.25
"APPLE, RED DICED (4X5# CASE)",,DRA,"Apples, Gala",No,Foodservice,APPLE BULK 4/5,28,20,0.25
"APPLE, GREEN DICED (4X5# CASE)",,APD,"Apples, Granny",No,Foodservice,APPLE BULK 4/5,28,20,0.25
"APPLE, GREEN WEDGES (4 X 3)",,GRW,"Apples, Granny",No,Foodservice,4/3 TUB,30,12,0.25
"BEETS, DICED (2X5#CASE)",,BET,"Beets, Cut 25#",No,Foodservice,2/5 TUB,18,10,0.25
"BEETS, CANDY STRIPE DICED (2X5#CASE)",,BET,"Beets, Candystripe 25#",No,Foodservice,2/5 TUB,18,10,0.25
"BEETS, GOLD DICED (2X5#CASE)",,BET,"Beets, Gold 25#",No,Foodservice,2/5 TUB,18,10,0.25
"BOK CHOY, CHOPPED (4 X 5# CASE)",,BC,Bok Choy,No,Foodservice,4/5 NEW KRAFT,30,20,0.25
BROCCOLI FLORETS MCENTIRE (4# CASE),,BROF,Broccoli Crowns,No,Foodservice,1/5 TUB,15,4,0.25
BROCCOLI FLORETS (4X3# CASE),,BROF,Broccoli Crowns,No,Foodservice,4/3 NEW KRAFT,14,12,0.25
BROCCOLI FLORETS (6x3#CASE),,BROF63,Broccoli Crowns,No,Foodservice,4/5 NEW KRAFT,14,18,0.25
BROCCOLI SLAW (4X3#CASE),,BRS,Broccoli Slaw,No,Foodservice,4/3 TUB,12,12,0.25
"BRUSSEL SPROUTS, SHREDDED",,BRU,Brussel Sprouts,No,Foodservice,4/5 NEW KRAFT,20,20,0.35
"BRUSSELS SPROUT, TRIMMED & HALVED (4 X 5# CASE)",,BRUH,Brussel Sprouts,No,Foodservice,4/5 NEW KRAFT,20,20,0.75
BUTTERNUT SQUASH DICED (20# CASE),,BD,"Squash, Butternut",No,Foodservice,4/5 NEW KRAFT,26,20,0.27
"CABBAGE, CHOPPED (20# CASE)",,CHCAB,"Cabbage, Bag",No,Foodservice,4/5 NEW KRAFT,35,20,0.25
"CABBAGE, DICED ZESTO (20# CASE)",,ZES,"Cabbage, Bag",No,Foodservice,4/5 NEW KRAFT,35,20,0.25
"CABBAGE, SHRED RED (20# CASE)",,SR,"Cabbage, Red",No,Foodservice,4/5 NEW KRAFT,35,20,0.25
"CHAYOTE, SQUASH 2"" MATCHSTICK (2X5# CASE)",,CSM,"Squash, Chayote ",No,Foodservice,2/5 ONION TRAY,10,10,0.27
CANTALOUPE CUBED (5# CASE),,CANC,Canteloupes,No,Foodservice,1/5 FRUIT TRAY,18,5,0.25
"CANTALOUPE, HALVED (5#CASE)",,CANH,Canteloupes,No,Foodservice,1/5 FRUIT TRAY,18,5,0.25
"CANTALOUPE, SLICED (10# CASE)",,CANSL,Canteloupes,No,Foodservice,2/5 FRUIT TRAY,18,10,0.25
