"ACORN SQUASH, DICED  (4X5#CASE)",AC,"Squash, Acorn",No,Foodservice,4/5 NEW KRAFT,18
"APPLE, RED WEDGES (4X3#CASE)",GW,"Apples, Gala",No,Foodservice,APPLE BULK 4/3,28
"APPLE, RED DICED (4X5# CASE)",DRA,"Apples, Gala",No,Foodservice,APPLE BULK 4/5,28
"APPLE, GREEN DICED (4X5# CASE)",APD,"Apples, Granny",No,Foodservice,APPLE BULK 4/5,28
"APPLE, GREEN WEDGES (4 X 3)",GRW,"Apples, Granny",No,Foodservice,4/3 TUB,30
"BEETS, DICED (2X5#CASE)",BET,"Beets, Cut 25#",No,Foodservice,2/5 TUB,18
"BEETS, CANDY STRIPE DICED (2X5#CASE)",BET,"Beets, Candystripe 25#",No,Foodservice,2/5 TUB,18
"BEETS, GOLD DICED (2X5#CASE)",BET,"Beets, Gold 25#",No,Foodservice,2/5 TUB,18
"BOK CHOY, CHOPPED (4 X 5# CASE)",BC,Bok Choy,No,Foodservice,4/5 NEW KRAFT,30
BROCCOLI FLORETS MCENTIRE (4# CASE),BROF,Broccoli Crowns,No,Foodservice,1/5 TUB,15
BROCCOLI FLORETS (4X3# CASE),BROF,Broccoli Crowns,No,Foodservice,4/3 NEW KRAFT,14
BROCCOLI FLORETS (6x3#CASE),BROF63,Broccoli Crowns,No,Foodservice,4/5 NEW KRAFT,14
BROCCOLI SLAW (4X3#CASE),BRS,Broccoli Slaw,No,Foodservice,4/3 TUB,12
"BRUSSEL SPROUTS, SHREDDED",BRU,Brussel Sprouts,No,Foodservice,4/5 NEW KRAFT,20
"BRUSSELS SPROUT, TRIMMED & HALVED (4 X 5# CASE)",BRUH,Brussel Sprouts,No,Foodservice,4/5 NEW KRAFT,20
BUTTERNUT SQUASH DICED (20# CASE),BD,"Squash, Butternut",No,Foodservice,4/5 NEW KRAFT,26
"CABBAGE, CHOPPED (20# CASE)",CHCAB,"Cabbage, Bag",No,Foodservice,4/5 NEW KRAFT,35
"CABBAGE, DICED ZESTO (20# CASE)",ZES,"Cabbage, Bag",No,Foodservice,4/5 NEW KRAFT,35
"CABBAGE, SHRED RED (20# CASE)",SR,"Cabbage, Red",No,Foodservice,4/5 NEW KRAFT,35
"CHAYOTE, SQUASH 2"" MATCHSTICK (2X5# CASE)",CSM,"Squash, Chayote ",No,Foodservice,2/5 ONION TRAY,10
CANTALOUPE CUBED (5# CASE),CANC,Canteloupes,No,Foodservice,1/5 FRUIT TRAY,18
"CANTALOUPE, HALVED (5#CASE)",CANH,Canteloupes,No,Foodservice,1/5 FRUIT TRAY,18
"CANTALOUPE, SLICED (10# CASE)",CANSL,Canteloupes,No,Foodservice,2/5 FRUIT TRAY,18
CARROT STICKS MCENTIRE (4# CASE),CARST10,"Carrots,50#",No,Foodservice,1/5 TUB,31
CARROT STICKS (10# CASE),CARST10,"Carrots,50#",No,Foodservice,2/5 TUB,33
CARROT STICKS (20# CASE),CARST,"Carrots,50#",No,Foodservice,4/5 NEW KRAFT,33
"CARROT, STICKS (BWW)(4 X 5# CASE)",CARSTBW,"Carrots,50#",No,Foodservice,4/5 NEW KRAFT,33
"CARROTS, COINS  (2X5# CASE)",CCCAR10,"Carrots,50#",No,Foodservice,2/5 TUB,33
"CARROTS, COINS (4X5# CASE)",CCCAR,"Carrots,50#",No,Foodservice,4/5 NEW KRAFT,33
"CARROTS, DICED (2X5# CASE)",DCAR10,"Carrots,50#",No,Foodservice,2/5 TUB,33
"CARROTS, DICED (4X5#  CASE)",CARD,"Carrots,50#",No,Foodservice,4/5 NEW KRAFT,33
"CARROTS, MATCHSTICK (4X5# CASE)",SHCAR,"Carrots,50#",No,Foodservice,4/5 NEW KRAFT,35
"CARROTS, PEELED (4X5# CASE)",PCAR,"Carrots,50#",No,Foodservice,4/5 NEW KRAFT,35
CAULIFLOWER FLORETS MCENTIRE (4# CASE),CFL,Cauliflower,No,Foodservice,1/5 TUB,16
CAULIFLOWER FLORETS (4X3# CASE),CFL,Cauliflower,No,Foodservice,4/3 TUB,16
CAULIFLOWER FLORETS MULTICOLOR (4X3# CASE),CFL,Cauliflower Tri Color,No,Foodservice,4/3 TUB,4
CELERY STICKS MCENTIRE (4# CASE),CELST,Celery 30 ct,No,Foodservice,1/5 TUB,32
CELERY STICKS (4X5# CASE),CELST,Celery 30 ct,No,Foodservice,4/5 NEW KRAFT,32
"CELERY, DICED (2X5# CASE)",CELD10,Celery 30 ct,No,Foodservice,2/5 TUB,32
"CELERY, DICED (4X5# CASE)",CELD,Celery 30 ct,No,Foodservice,4/5 NEW KRAFT,32
"CELERY, SLICED  (2X5# CASE)",CELD,Celery 30 ct,No,Foodservice,2/5 TUB,32
"CELERY, ROOT DICED  (2X5# CASE)",CELD,Celery Root,No,Foodservice,2/5 TUB,20
"CILANTRO, CLEAN & TRIM (4X1# CASE)",CIL,Cilantro 60ct,No,Foodservice,4/3 TUB,12
"COLESLAW, DICED (4X5# CASE)",SLAWD,"Cabbage, Bag",No,Foodservice,4/5 NEW KRAFT,35
"COLESLAW, FINE SHREDDED, (4X5# CASE)",SLAWF,"Cabbage, Bag",No,Foodservice,4/5 NEW KRAFT,35
"COLESLAW, SAVOY BLEND (2X5# CASE)",SLAW50/50,"Cabbage, Savoy",No,Foodservice,2/5 TUB,15
"COLESLAW, SHREDDED MIX (4X5# CASE)",SLAW,"Cabbage, Bag",No,Foodservice,4/5 NEW KRAFT,35
"COLLARDS, CLEANED/CUT (6X2# CASE)",COL,"Collards, Dozen",No,Foodservice,4/5 NEW KRAFT,16
CORN SHUCKED & CUT (1 BUSH),CORNHALF,"Corn, Yellow",No,Foodservice,4/5 NEW KRAFT,1
"CORN, SHUCKED (4 X 12)",CORN,"Corn, Yellow",No,Foodservice,4/5 NEW KRAFT,1
"CRIMINI, SLICED (5# CASE)",SC5,"Mushroom, Crimini",No,Foodservice,1/5 TUB,5
"CUCUMBER, DICED (2 X 5# CASE)",CUKD10,"Cucumber, Select",No,Foodservice,2/5 TUB,40
"CUCUMBER, SLICED (2 X 5# CASE)",CUKS10,"Cucumber, Select",No,Foodservice,2/5 TUB,40
"CUCUMBER, WHOLE (5# CASE)",CUW5,"Cucumber, Select",No,Foodservice,5# WHOLE PRODUCE,40
"FAJITA MIX, PEPPER & ONION, JULIENNE (2 X 5) (10# CASE)",FMJ,Pepper Mix ,No,Foodservice,2/5 TUB,10
FRENCH FRIES (4X5# CASE),FF,"Potatoes, 90 ct",No,Foodservice,POTATOES 4/5,40
FRUIT MIXED (5# CASE),FM,Fruit Mix ,No,Foodservice,1/5 FRUIT TRAY,4
FRUIT TRAY (5# CASE),FTRAY,Fruit Mix ,No,Foodservice,2/5 FRUIT TRAY,4
"FRUIT, MIXED (2X5# CASE)",FM10,Fruit Mix ,No,Foodservice,2/5 FRUIT TRAY,4
"GRAPES, RED  (5# CASE)",GPL,"Grapes, Red SL",No,Foodservice,1/5 FRUIT TRAY,18
"GRAPES, RED  (1# CASE)",GPL,"Grapes, Red SL",No,Foodservice,1LBS BAG,18
"GREEN ONION, SLICED, (2X5#CASE)",GRO10,"Onions, Green 4x2#",No,Foodservice,1/5 ONION TRAY,10
"HONEYDEW, SLICED (2X5# CASE)",HONS,Honeydews,No,Foodservice,2/5 FRUIT TRAY,16
"HONEYDEW, CUBED (5# CASE)",HON,Honeydews,No,Foodservice,1/5 FRUIT TRAY,16
"HONEYDEW, HALVED (5# CASE)",HH,Honeydews,No,Foodservice,1/5 FRUIT TRAY,16
"JALAPENO, SLICED (2X5#CASE)",JS,Jalapenos,No,Foodservice,2/5 FRUIT TRAY,18
"JALAPENO, WHOLE, (5# CASE)",JW5,Jalapenos,No,Foodservice,1/5 TUB,25
"JICAMA, SHRED 1/8' (5# CASE)",JSH2/5,Jicama,No,Foodservice,1/5 ONION TRAY,22
"JICAMA, SHRED 1/8' (2X5# CASE)",JSH2/5,Jicama,No,Foodservice,2/5 ONION TRAY,22
"KALE, SHREDDED (4 X 1# CASE)",KAL,Kale,No,Foodservice,4/5 NEW KRAFT,16
"KIWI, PEELED & SLICED (5# CASE)",KI5,"Kiwi, Bulk",No,Foodservice,1/5 FRUIT TRAY,15
"LEMON WEDGES, (2 X 5# CASE)",LEM2/5,"Lemons, 140",No,Foodservice,2/5 FRUIT TRAY,10
"MANGO, CUBED (5# CASE)",MANG,Mangoes,No,Foodservice,1/5 FRUIT TRAY,4
"NAPA CABBAGE, SHREDDED (2 X 5)","NAPA, SHRED",Napa,No,Foodservice,2/5 TUB,35
"NAPA CABBAGE, SHREDDED (4 X 5)","NAPA, SHRED",Napa,No,Foodservice,2/10 NEW KRAFT,35
"ONIONS, RED DICED (20# CASE)",ROND,"Onions, Red 25#",No,Foodservice,4/5 NEW KRAFT,18
